"","word","sentiment","n"
"1115","frantic","negative",2
"1116","freed","positive",2
"1117","frightening","negative",2
"1118","futile","negative",2
"1119","generosity","positive",2
"1120","gloom","negative",2
"1121","glory","positive",2
"1122","golden","positive",2
"1123","goodwill","positive",2
"1124","goofy","negative",2
"1125","grapple","negative",2
"1126","grievances","negative",2
"1127","gullible","negative",2
"1128","hack","negative",2
"1129","happiness","positive",2
"1130","hardships","negative",2
"1131","harmful","negative",2
"1132","hateful","negative",2
"1133","hater","negative",2
"1134","haters","negative",2
"1135","hating","negative",2
"1136","heartwarming","positive",2
"1137","heck","negative",2
"1138","hedge","negative",2
"1139","hopeful","positive",2
"1140","horrendous","negative",2
"1141","horrid","negative",2
"1142","horrified","negative",2
"1143","hostilities","negative",2
"1144","hubris","negative",2
"1145","humane","positive",2
"1146","humble","positive",2
"1147","humorous","positive",2
"1148","humour","positive",2
"1149","hurting","negative",2
"1150","hypocrisy","negative",2
"1151","hypocrite","negative",2
"1152","illegally","negative",2
"1153","imbecile","negative",2
"1154","immense","positive",2
"1155","immoral","negative",2
"1156","impending","negative",2
"1157","impose","negative",2
"1158","imposing","negative",2
"1159","impressed","positive",2
"1160","inaction","negative",2
"1161","incessantly","negative",2
"1162","inevitably","negative",2
"1163","inextricably","negative",2
"1164","ingenious","positive",2
"1165","injustices","negative",2
"1166","insanity","negative",2
